Tanggal;Hardness;Alkalinity;Carbonate Root;Nitrate;Nitrite;Free clorine;Total Clorine;Dissolved Oxygen;Temperature;pH
13 November 2023;250;180;0;25;1;0;0;4.5;28.6;7.8
14 November 2023;250;120;0;50;1;0;0;4.7;27.4;7.8
15 November 2023;250;120;0;25;1;0;0;4.5;28.6;7.8
16 November 2023;250;120;20;25;1;0;0;4.7;27.9;7.2
17 November 2023;250;120;0;25;1;0.5;0;4.4;28.6;7.2
18 November 2023;250;120;0;25;1;0;0;4.4;28.4;7.8
19 November 2023;250;120;0;25;1;0;0;4.6;28.7;7.2
20 November 2023;250;120;0;25;1;0;0;4.6;28.7;7.2
21 November 2023;250;120;0;25;1;0;0;4.3;27.1;7.2
22 November 2023;250;120;0;25;1;0;0;4.3;27.8;7.2
23 November 2023;250;120;0;25;1;0;0;4.3;27.8;7.2
24 November 2023;250;120;0;100;5;0;0;4.7;27.8;7.2
25 November 2023;250;120;0;50;1;0;0;4.2;28.9;7.3
26 November 2023;250;120;0;50;1;0;0;4.5;27.8;7.8
27 November 2023;250;120;0;5;50;0;0;4.3;27.8;7.2
